,Year,Country,Ebolavirusspecies,Cases,Deaths,Mortality
0,2012.0, Congo, Bundibugyo,57.0,29.0,0.5087719298245614
1,2012.0, Uganda,  Sudan,7.0,4.0,0.5714285714285714
2,2012.0, Uganda,  Sudan,24.0,17.0,0.7083333333333334
3,2011.0, Uganda, Sudan,1.0,1.0,1.0
4,2008.0, Congo, Zaire,32.0,14.0,0.4375
5,2007.0, Uganda, Bundibugyo,149.0,37.0,0.2483221476510067
6,2007.0, Congo, Zaire,264.0,187.0,0.7083333333333334
7,2005.0, Congo, Zaire,12.0,10.0,0.8333333333333334
8,2004.0, Sudan, Sudan,17.0,7.0,0.4117647058823529
9,2003.0, Congo, Zaire,35.0,29.0,0.8285714285714286
10,2003.0, Congo, Zaire,143.0,128.0,0.8951048951048951
11,2001.0, Congo, Zaire,59.0,44.0,0.7457627118644068
12,2001.0, Gabon, Zaire,65.0,53.0,0.8153846153846154
13,2000.0, Uganda, Sudan,425.0,224.0,0.5270588235294118
14,1996.0, South_Africa , Zaire,1.0,1.0,1.0
15,1996.0, Gabon, Zaire,60.0,45.0,0.75
16,1996.0, Gabon, Zaire,31.0,21.0,0.6774193548387096
17,1995.0, Congo, Zaire,315.0,254.0,0.8063492063492064
18,1994.0, Cote_dIvoire, TForest,1.0,0.0,0.0
19,1994.0, Gabon, Zaire,52.0,31.0,0.5961538461538461
20,1979.0, Sudan, Sudan,34.0,22.0,0.6470588235294118
21,1977.0, Congo, Zaire,1.0,1.0,1.0
22,1976.0, Sudan, Sudan,284.0,151.0,0.5316901408450704
23,1976.0, Congo, Zaire,318.0,280.0,0.8805031446540881
24,2014.0,Liberia,Unknown,1698.0,871.0,0.5129600000000001
25,2014.0,Guinea,Unknown,771.0,494.0, 0.6407263294422828
26,2014.0,Nigeria,Unknown,21.0,7.0,0.3333333333333333
27,2014.0,Sierra_Leone,Unknown,1216.0,476.0,0.39144736842105265
